,Brand,Model,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
674,Hyundai,i10,2012, Manual,1200,2, Petrol,9,30000,1725000
675,Hyundai,santro,2003, Manual,1100,2, Petrol,3,50000,675000
676,Hyundai,santro,2007, Manual,1100,2, Petrol,5,40000,1200000
677,Hyundai,santro,2004, Manual,1100,2, Petrol,5,43000,950000
678,Hyundai,i10,2009, Manual,1100,2, Petrol,7,32000,1350000
679,Hyundai,asta,2010, Manual,1200,2, Petrol,8,25000,1825000
680,Hyundai,i10,2009, Manual,1200,2, Petrol,7,37000,1400000
681,Hyundai,i10,2008, Manual,1100,2, Petrol,6,40000,1275000
682,Hyundai,asta,2009, Manual,1200,2, Petrol,7,32000,1750000
683,Hyundai,santro,2000, Manual,1000,2, Petrol,3,59675,550000
684,Hyundai,santro,2000, Manual,1000,2, Petrol,3,60000,600000
685,Hyundai,i20,2010, Manual,1200,2, Petrol,9,33000,1775000
686,Hyundai,i10,2009, Manual,1200,2, Petrol,7,35000,1400000
687,Hyundai,i10,2011, Manual,1200,2, Petrol,9,32000,1725000
688,Hyundai,santro,2010, Manual,1100,2, Petrol,8,7100,1350000
689,Hyundai,santro,2009, Manual,1100,2, Petrol,7,37000,1200000
690,Hyundai,i20,2011, Manual,1200,2, Petrol,9,6500,2200000
691,Hyundai,i10,2009, Manual,1200,2, Petrol,7,40000,1400000
692,Hyundai,santro,2008, Manual,1100,2, Petrol,6,40000,1200000
693,Hyundai,santro,2002, Manual,1100,2, Petrol,4,58000,725000
694,Hyundai,i10,2009, Manual,1200,2, Petrol,7,32000,1400000
695,Hyundai,i10,2008, Manual,1200,2, Petrol,6,37000,1325000
696,Hyundai,santro,2006, Manual,1100,2, Petrol,5,50000,1100000
697,Hyundai,i10,2010, Manual,1200,2, Petrol,8,30000,1525000
698,Hyundai,i10,2010, Manual,1200,2, Petrol,7,28000,1590000
699,Hyundai,asta,2014, Manual,1200,2, Petrol,12,14000,2550000
700,Hyundai,santro,2014, Manual,1100,2, Petrol,12,3000,1700000
701,Hyundai,i20,2010, Manual,1200,2, Petrol,8,31442,1900000
702,Hyundai,santro,2010, Manual,1100,2, Petrol,8,47000,1325000
703,Hyundai,i10,2011, Manual,1200,2, Petrol,9,9000,1750000
704,Hyundai,i10,2012, Manual,1200,2, Petrol,10,27000,1725000
705,Hyundai,i10,2009, Manual,1200,2, Petrol,7,30000,1425000
706,Hyundai,santro,2005, Manual,1100,2, Petrol,5,44000,1050000
707,Hyundai,asta,2014, Manual,1200,2, Petrol,10,9000,2450000
708,Hyundai,i10,2012, Manual,1200,2, Petrol,9,24000,1800000
709,Hyundai,i10,2009, Manual,1200,2, Petrol,7,48000,1400000
710,Hyundai,santro,2009, Manual,1100,2, Petrol,7,37000,1225000
711,Hyundai,santro,2002, Manual,1000,2, Petrol,4,58000,750000
712,Hyundai,tucson,2009, Manual,2000,4, Diesel,8,27000,3700000
713,Hyundai,i10,2011, Manual,1200,2, Petrol,9,26000,1750000
714,Hyundai,asta,2014, Manual,1200,2, Petrol,12,120000,2425000
715,Hyundai,santro,2009, Manual,1100,2, Petrol,7,36000,1200000
